"","X","date","restaurant","location","score","lon","lat"
"1",1,2021-10-26,"DaVinci's PIzza","Knoxville, TN",6.7,-83.9184306,35.9698944
"2",2,2021-10-23,"Barley's Taproom & Pizzeria","Knoxville, TN",7.2,-83.9172599,35.9707585
"3",3,2021-10-22,"South Coast Pizza","Knoxville, TN",6.6,-83.9045333,35.9595111
"4",4,2021-10-21,"Pizza Palace","Knoxville, TN",5.9,-83.8857795,35.9948493
"5",5,2021-10-19,"Elidios's Pizza","Knoxville, TN",7.5,-83.99191,36.026571
"6",6,2021-10-18,"Uptown Pizzeria","Hoboken, NJ",7.6,-74.0252995,40.7533369
"7",7,2021-10-14,"Torna's Pizzeria","Hoboken, NJ",7.4,-74.0309041,40.7479029
"8",8,2021-10-13,"Hot House Pizza","Hoboken, NJ",7.4,-74.0401013,40.7405219
"9",9,2021-10-12,"Jerusalem Cafe","New York, NY",6.8,-73.984303,40.7502231
"10",10,2021-10-11,"La Sicilia","Belleville, NJ",7.1,NA,NA
"11",11,2021-10-07,"Joe's Famous Pizza","Vauxhall, NJ",7.9,-74.277924,40.7196661
"12",12,2021-10-06,"Turanos pizza kitchen","LIV, NJ",8.1,-74.3209804,40.7737801
"13",13,2021-10-05,"Bruno's Pizza & Restaurant","Clifton, NJ",7.3,-105.947116,35.681462
"14",14,2021-10-04,"Mr Z's","Key West, FL",7.1,-81.8019106,24.5550348
"15",15,2021-10-03,"Robert's Pizza & Dough Compa...","Chicago, IL",7.9,NA,NA
"16",16,2021-10-01,"Seaside Cafe at the Mansion","Key West, FL",7.4,-81.7965149,24.5468315
"17",17,2021-09-30,"Da Pizza Dude","Chicago, IL",7.2,NA,NA
"18",18,2021-09-28,"Phil's Pizza","Chicago, IL",7.6,-87.653612,41.830902
"19",19,2021-09-27,"Rosangela's Pizza","Evergreen Park, IL",7.5,-87.6924227,41.720645
"20",20,2021-09-24,"Lombardo's of Bay Ridge","Brooklyn, NY",8.1,-74.0269753,40.6344263
"21",21,2021-09-23,"Battle Hill Tavern","Brooklyn, NY",7.1,-73.9912971,40.6601882
"22",22,2021-09-22,"Giuseppina's","Brooklyn, NY",8.1,-73.9905395,40.6603878
"23",23,2021-09-21,"Luigi's Pizza","Brooklyn, NY",9.3,NA,NA
"24",24,2021-09-20,"Baby Luc’s","Brooklyn, NY",8.2,-73.9968577,40.6800784
"25",25,2021-09-17,"Spinelli's Pizzeria","New York, NY",6.8,-73.9907157,40.7504106
"26",26,2021-09-16,"Trattoria Bianca","New York, NY",5.8,-73.9932589,40.7528392
"27",27,2021-09-15,"Marble Room Steaks and Raw B...","Cleveland, OH",7.4,-81.6887996,41.5004376
"28",28,2021-09-14,"Pizza 216","Cleveland, OH",7.3,-81.690206,41.499983
"29",29,2021-09-13,"Angelo's Pizza","Lakewood, OH",7.1,-81.788256,41.476918
"30",30,2021-09-11,"Buddy's Pizza - Ann Arbor","Ann Arbor, MI",7.5,-83.7685451,42.2407658
"31",31,2021-09-10,"Uncle Oogie's","Sea Isle City, NJ",6.9,-74.7029851,39.142074
"32",32,2021-09-09,"Pennsylvania 6 NYC","New York, NY",6.2,-73.9908333,40.7483333
"33",33,2021-09-07,"Phil's  Famous Pizzeria","Sea Isle City, NJ",7.6,-74.689577,39.157831
"34",34,2021-09-03,"Berardi Brothers Pizza","Sea Isle City, NJ",7.1,-74.691861,39.154412
"35",35,2021-09-02,"Poppi's Brick Oven Pizza","Wildwood, NJ",6.8,-74.823468,38.984574
"36",36,2021-09-01,"Preps Pizzeria","Ocean City, NJ",7.1,-74.5738348,39.2742151
"37",37,2021-08-31,"Steak’em Up","North Wildwood, NJ",7.1,-74.7974102,38.9936779
"38",38,2021-08-30,"Sorrento II Pizzeria & Resta...","Wildwood, NJ",5.3,-74.8022384,38.9908447
"39",39,2021-08-28,"Mama Santa's","Cleveland, OH",7.6,-81.597224,41.508837
"40",40,2021-08-27,"Mack's Pizza","Wildwood, NJ",6.7,-74.8089589,38.9879701
"41",41,2021-08-26,"Sam's Pizza Palace","North Wildwood, NJ",7.9,-74.804582,38.990141
"42",42,2021-08-24,"The Brook Tap House","West Caldwell, NJ",8.2,-74.2843656,40.8642414
"43",43,2021-08-23,"Max London's Restaurant","Saratoga Springs, NY",7.4,-73.7846686,43.0829421
"44",44,2021-08-20,"Flatbread Social","Saratoga Springs, NY",6.9,-73.782121,43.0822088
"45",45,2021-08-19,"DeFazio's Pizzeria","Troy, NY",8.2,-73.690552,42.72322
"46",46,2021-08-18,"Paesan's Pizza","Latham, NY",7.5,-73.7628171,42.7334934
"47",47,2021-08-17,"Venezia Pizza & Pasta","Clifton Park, NY",7.4,-93.1178665,35.2787285
"48",48,2021-08-16,"Napoli's Pizzeria","Malta, NY",7.5,-73.7920408,42.9717465
"49",49,2021-08-13,"Pizza Time","Ballston Spa, NY",6.9,-73.8449518,43.0482996
"50",50,2021-08-11,"Showfish","Montauk, NY",7.2,-71.9327002,41.0694783
"51",51,2021-08-09,"7-Eleven","Montauk, NY",3.8,-71.949364,41.032177
"52",52,2021-08-05,"Sag Pizza","Sag Harbor, NY",6.8,-72.2950827,40.999903
"53",53,2021-08-04,"D 'Andrea's Pizza","Saratoga Springs, NY",7.2,-73.7832794,43.0819988
"54",54,2021-08-03,"West Avenue Pizzeria","Saratoga Springs, NY",7.3,-73.8056236,43.0785084
"55",55,2021-07-28,"Time Market","Tucson, AZ",7.1,-110.964304,32.231545
"56",56,2021-07-27,"No Anchovies","Tucson, AZ",7.3,-110.9584543,32.231426
"57",57,2021-07-26,"Bazzarelli Restaurant","Moonachie, NJ",7.7,-74.047768,40.840521
"58",58,2021-07-23,"Kenny's Castaways","Montauk, NY",7.4,-71.9419017,41.0715076
"59",59,2021-07-22,"Blade + Salt","Montauk, NY",7.5,-71.9444178,41.0363678
"60",60,2021-07-21,"Ruschmeyer's","Montauk, NY",7.8,-71.9603633,41.0395486
